order	source_rev	status	source_lines	sha256	path	title
0	508e0e4682116f4c03c95da48981e4d2bef2df03	historical	123-129	887bc2940ef3b0d1c0702fad7fd8dd3ccea7faa674fd727dcedc9a056afa5059	Companion/Decisions/V3/retained-inline-no-byte-identical-routed-twin.md	Retained inline — no byte-identical routed twin
1	508e0e4682116f4c03c95da48981e4d2bef2df03	superseded	130-162	abdf79690b6434f7c95c4266ee251248fdc1e283ea53b0dd28b264e9fd9ef635	Companion/Decisions/V3/Superseded/adr-ios-026b-v3-superseded-by-068.md	ADR-IOS-026B: PendingOperation Uses Stable IDs (rfc822MessageId) — SUPERSEDED by ADR-IOS-068
2	508e0e4682116f4c03c95da48981e4d2bef2df03	active	173-347	76a2c86487d20ca16782079b8f41787c3e8c0c1b31c75bbbec3fe44fdbae4ca3	Companion/Decisions/V3/Active/adr-ios-068.md	ADR-IOS-068: Durable Message Actions Are Keyed by the Native Provider Id (Supersedes ADR-IOS-026B)
3	508e0e4682116f4c03c95da48981e4d2bef2df03	active	348-419	7f623732abd5c308ae9c7d33e889fc7216691a7bbff936628976a7533f372785	Companion/Decisions/V3/Active/adr-ios-069.md	ADR-IOS-069: An Id Reset Invalidates the Affected Queued Ops — They Are Dropped, Not Rebound
4	508e0e4682116f4c03c95da48981e4d2bef2df03	active	420-492	625b0f386c227bb9a0ac9736b4af641b60423cee8597f6515469d8cf1a189629	Companion/Decisions/V3/Active/adr-ios-070.md	ADR-IOS-070: Withdrawal Record — the Post-`v1.6.38` Intention/Identity Line Is Withdrawn, Not Superseded
5	508e0e4682116f4c03c95da48981e4d2bef2df03	active	493-555	bdb2833bc45817b942f043d577cc4f6f55f623bef49911e6d5a1a0620be16852	Companion/Decisions/V3/Active/adr-ios-071.md	ADR-IOS-071: No Backward Compatibility for the Action Queue
6	508e0e4682116f4c03c95da48981e4d2bef2df03	active	556-667	b6a8d2e4ab098edc81e037c8f9aea3029716425b13b5077f6f926e90a6a29d62	Companion/Decisions/V3/Active/adr-ios-072.md	ADR-IOS-072: Content Is Addressed by the Message It Belongs To, Never by the Slot It Occupies
