source_sha256	source_line	id	register	disposition	row_sha256	path
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1432	IOS-MOVE-003	yes	accepted	247cfac4f42a233632220ee4e2c36abb824aa554d6a4b58f0cbaf95f1c760ccb	Companion/Process/Current/KnownIssues/ios-move-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1433	IOS-IMAP-012	yes	closed-decision	53c5d3dfa0fb042bba9c9b2f0b76570535d9030d2b350c7fe828d16726e8598a	Companion/Process/Current/KnownIssues/ios-imap-012.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1434	IOS-IMAP-013	yes	closed-decision	60cd3f6833b955121a3820289b563b1856513fd7eda3c23c0e91ca5e1c2bef7c	Companion/Process/Current/KnownIssues/ios-imap-013.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1435	IOS-IMAP-014	yes	closed-decision	5cf31b1753ad86e587f6b7116b3380c02e73871224fb4f29ec3fd21f3a36dbb3	Companion/Process/Current/KnownIssues/ios-imap-014.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1444	IOS-CLEANUP-001	yes	open	83ad381f623091bade272b91d9dfd3d8e2c8d296d7134695fd79c7c984cd0c5e	Companion/Process/Current/KnownIssues/ios-cleanup-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1445	IOS-PUSH-001	yes	open	6f947e0a6d96e4f03abe0764e2e076a6b33d1a7ac7b868ca526b96535da8639d	Companion/Process/Current/KnownIssues/ios-push-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1446	IOS-SETTINGS-002	yes	accepted	a1d530f33eb17f957f121bbbe9a935d0a933c9f2af38b59fc06fce316b75ab9c	Companion/Process/Current/KnownIssues/ios-settings-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1447	IOS-CHAT-001	yes	accepted	8b696f9907b637db9bdcf4a711763e73969ecba52186399c90fc169941aacebd	Companion/Process/Current/KnownIssues/ios-chat-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1448	IOS-REMINDER-001	yes	accepted	e5a1276f7ddd3373bc7f3c077a1111bf9c61b23ca7fce9ce7bc91ee6e2466eca	Companion/Process/Current/KnownIssues/ios-reminder-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1449	IOS-BILLING-001	yes	accepted	12e736a607a3fd3eaecbddbce497152da89350b0783e9ba924aa8d377490d467	Companion/Process/Current/KnownIssues/ios-billing-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	1450	IOS-UI-001	yes	accepted	0fce4091d0a99bf945316a99ec39788173f12d41de66d9b0ffa52300a7e38de7	Companion/Process/Current/KnownIssues/ios-ui-001.md
